bed,XTOC,XThU,XZn,XS33,XS34,OCe,XSr,XOs,XO,XN,XLi,XHg,XFeHr,XFePy,XCd,XCa,XCorg,Xccarb,extPC,oriPC,stg,sys,system,series,stage,short,formation,member,lithology,facies,SQ,conodonot_zone,conodont_stg,Thickness,Tbottom,Tmid,Ttop,Sbottom,Smid,Stop,actual,Age,Rate..cm.year.,bottom,mid,top,dur,systemCol,seriesCol,col
27a,-1.140000,7.235645,0.000796,-0.001681,2.607900,-0.023495,-0.000031,-2.800000,-1.050000,2.190000,4.241254,-104.803333,0.020000,-0.005000,0.090000,-0.110000,-0.596000,0.273117,0.149940147,0.187211542,34,Tr,Permian,Lopingian,Changhsingian,Changhsingian,Yinkeng,,argillaceous micrite,"III1 open-platform, upper offshore",SQ3 TS,C. zhejiangensis - H. changxingensis,10,0.04,43.76,43.78,43.86,-8,-6,-4,,NA,4.00E-04,251.920271,251.9156625,251.911054,9217,#984b99,#bd86bd,#fac4b8
27b,0.170000,0.407509,-0.150462,0.043248,-8.243900,0.000044,0.000000,0.290000,-0.053333,0.042434,-0.075045,91.350000,0.110000,-0.060000,-0.060000,0.063538,4.537333,0.486610,0.158224005,0.028170877,35,Tr,Permian,Lopingian,Changhsingian,Changhsingian,Yinkeng,,argillaceous micrite,"III1 open-platform, upper offshore",SQ3 TS,C. zhejiangensis - H. changxingensis,10,0.04,43.8,43.82,43.9,-4,-2,0,,NA,4.00E-04,251.911054,251.9064455,251.901837,9217,#984b99,#bd86bd,#fac4b8
27c,0.050000,-7.723154,0.151737,-0.030816,3.400000,-0.006549,0.000031,-0.600000,-0.241667,-0.029888,4.600458,-173.460000,0.020000,-0.070000,0.080000,-0.153538,-0.033333,0.204443,0.149531734,0,36,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,argillaceous micrite,"III1 open-platform, upper offshore",SQ3 TS,H. parvus,11,0.04,43.84,43.86,43.94,0,2,4,,NA,4.00E-04,251.901837,251.8972285,251.89262,9217,#984b99,#bd86bd,#fac4b8
27d,-0.040000,8.538172,0.000637,-0.011615,4.552160,0.006637,-0.000031,2.355597,0.135000,-0.242546,-4.750550,-54.140000,0.020000,0.030000,-0.340000,0.148507,0.225000,0.175819,0.365934269,0.022989518,37,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,argillaceous micrite,"III1 open-platform, upper offshore",SQ3 TS,I. staeschei,12,0.04,43.88,43.9,43.98,4,6,8,,NA,4.00E-04,251.89262,251.8880115,251.883403,9217,#984b99,#bd86bd,#fac4b8
28,0.720000,-8.588172,0.000637,0.000272,-0.097250,-0.066637,-0.000049,-0.023955,-0.416667,0.182769,-0.075045,-6.065000,-0.090000,0.085000,0.030000,-0.028507,0.615000,0.125056,0.173271721,0.126751706,38,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,clay,III1 lower offshore,SQ3 TST,I. staeschei,12,0.04,43.92,43.94,44.02,8,10,12,*Burgessetal2014,251.88,4.00E-04,251.883403,251.8785715,251.87374,9663,#984b99,#bd86bd,#fac4b8
29a,-1.000000,9.708821,-0.323011,-0.054112,2.185090,0.066758,0.000050,-1.291642,0.106667,-0.052304,2.325595,-6.065000,-0.290000,-0.055000,0.180000,0.040000,-1.700000,-0.039400,0.074107972,0,39,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,marl,III1 lower offshore,SQ3 TST,I. isarcica,13,0.1,43.96,44.025,44.12,12,17,22,,NA,4.00E-04,251.87374,251.8609525,251.848165,25575,#984b99,#bd86bd,#fac4b8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,
