stg,sys,system,series,stage,short,formation,member,bed,lithology,facies,SQ,conodonot_zone,conodont_stg,Thickness,Tbottom,Tmid,Ttop,Sbottom,Smid,Stop,actual,Age,Rate (cm/year),bottom,mid,top,dur,systemCol,seriesCol,col
41,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,30,calcareous mudrock,III2 lower offshore,SQ3 TST,C. planata,14,0.45,44.22,44.495,44.67,32,54.5,77,,,0.0004,251.82259,251.765045,251.7075,115090,#984b99,#bd86bd,#fac4b8
42,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,31,clay,III2 lower offshore,SQ3 TST,C. planata,14,0.09,44.77,44.815,44.76,77,81.5,86,,,0.0004,251.7075,251.680646,251.653792,53708,#984b99,#bd86bd,#fac4b8
43,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,32,calcareous mudrock,III2 lower offshore,SQ3 TST,C. planata,14,0.76,44.86,45.24,45.52,86,124,162,,,0.0004,251.653792,251.635889,251.617986,35806,#984b99,#bd86bd,#fac4b8
44,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,33,calcareous mudrock,IV1 lower offshore,SQ3 TST,C. planata,14,0.05,45.62,45.645,45.57,162,164.5,167,*Burgessetal2014,251.583,0.0003,251.617986,251.576665,251.535344,82642,#984b99,#bd86bd,#fac4b8
45,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,34,calcareous mudrock,IV1 lower offshore,SQ3 mfs,C. planata,14,6.06,45.67,48.7,51.63,167,470,773,*Burgessetal2014,251.495,0.0003,251.535344,251.4938355,251.452327,83017,#984b99,#bd86bd,#fac4b8
46,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,35,calcareous mudrock,IV1 lower offshore,SQ3 EHST,C. planata,14,1,51.73,52.23,52.63,773,823,873,,,0.0003,251.452327,251.425749,251.399171,53156,#984b99,#bd86bd,#fac4b8
47,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,36,calcareous mudrock,IV1 lower offshore,SQ3 LHST,C. planata,14,0.96,52.73,53.21,53.59,873,921,969,,,0.0003,251.399171,251.370932,251.342693,56478,#984b99,#bd86bd,#fac4b8
48,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,37,calcareous mudrock,III2 lower offshore,SQ3 LHST,C. planata,14,0.14,53.69,53.76,53.73,969,976,983,,,0.0003,251.342693,251.319437,251.296181,46512,#984b99,#bd86bd,#fac4b8
49,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,38,"calcareous mudrock, silica",III2 upper offshore,SQ3 LHST,C. planata,14,0.33,53.83,53.995,54.06,983,999.5,1016,,,0.0003,251.296181,251.2413635,251.186546,109635,#984b99,#bd86bd,#fac4b8
50,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,39,"calcareous mudrock, silica",III1 upper upper offshore,SQ3 LHST,C. planata,14,0.32,54.16,54.32,54.38,1016,1032,1048,,,0.0003,251.186546,251.13339,251.080234,106312,#984b99,#bd86bd,#fac4b8
51,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,40,,III1 upper upper offshore,SQ4 SMST,C. planata,14,0.28,54.48,54.62,54.66,1048,1062,1076,,,0.0003,250,250,250,0,#984b99,#bd86bd,#fac4b8
52,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,41,,,SQ4,C. planata,14,0.99,54.76,55.255,55.65,1076,1125.5,1175,,,0.0003,249,249,249,0,#984b99,#bd86bd,#fac4b8
53,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,42,,,SQ4,C. planata,14,0.79,55.75,56.145,56.44,1175,1214.5,1254,,,0.0003,248,248,248,0,#984b99,#bd86bd,#fac4b8
54,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,43,,,SQ4,C. planata,14,0.54,56.54,56.81,56.98,1254,1281,1308,,,0.0003,247,247,247,0,#984b99,#bd86bd,#fac4b8
55,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,44,,,SQ4,C. planata,14,0.69,57.08,57.425,57.67,1308,1342.5,1377,,,0.0003,246,246,246,0,#984b99,#bd86bd,#fac4b8
56,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,45,,,SQ4,C. planata,14,0.37,57.77,57.955,58.04,1377,1395.5,1414,,,0.0003,245,245,245,0,#984b99,#bd86bd,#fac4b8
57,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,46,,,SQ4,C. planata,14,0.57,58.14,58.425,58.61,1414,1442.5,1471,,,0.0003,244,244,244,0,#984b99,#bd86bd,#fac4b8
58,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,47,,,,C. planata,14,0.3,58.71,58.86,58.91,1471,1486,1501,,,0.0003,243,243,243,0,#984b99,#bd86bd,#fac4b8
59,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,48,,,,C. planata,14,0.09,59.01,59.055,59,1501,1505.5,1510,,,0.0003,242,242,242,,,,
60,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,49,,,,C. planata,14,0.46,59.1,59.33,59.46,1510,1533,1556,,,0.0003,241,241,241,,,,
61,Tr,Triassic,Early Triassic,Griesbachian,Griesbachian,Yinkeng,,50+,,,,C. planata,14,0.19,59.56,59.655,59.65,1556,1565.5,1575,,,0.0003,240,240,240,,,,
